,action,reward,self.observation,self.state
161,8.0,1.5038721239466457,[ 20.72  17.65 103.   127.  ],"[0.25, 0.23, 0.29, 0.3094]"
162,44.0,1.1571778292948942,[ 22.41   2.36  30.   148.  ],"[0.21, 0.2, 0.2613, 0.2133]"
163,40.0,1.3157911915590987,[ 21.5  -13.06  34.   162.  ],"[0.3126, 0.314, 0.21, 0.22]"
164,55.0,-2.712283680018338,[ 18.11 -27.85 149.   165.  ],"[0.3244, 0.0831, 0.2, 0.21]"
165,1.0,1.455598588216801,[ 12.59 -41.51  19.   127.  ],"[0.2591, 0.2685, 0.22, 0.23]"
166,0.0,1.452922077922078,[  5.4  -53.95   2.    80.  ],"[0.22, 0.21, 0.21, 0.22]"
167,0.0,1.4139610389610389,[20.97 17.76  0.   72.  ],"[0.21, 0.2, 0.2, 0.22]"
168,0.0,1.4640386787125919,[22.67  2.41  0.   96.  ],"[0.22, 0.21, 0.21, 0.23]"
169,0.0,1.4751552795031058,[ 21.77 -13.06   0.   105.  ],"[0.23, 0.21, 0.21, 0.23]"
170,0.0,1.4751552795031058,[ 18.37 -27.9    0.   100.  ],"[0.23, 0.21, 0.21, 0.23]"
171,0.0,1.452922077922078,[ 12.84 -41.6    0.    80.  ],"[0.22, 0.21, 0.21, 0.22]"
172,0.0,1.4139610389610389,[21.22 17.86  0.   73.  ],"[0.21, 0.2, 0.2, 0.22]"
173,0.0,1.4640386787125919,[22.93  2.46  0.   97.  ],"[0.22, 0.21, 0.21, 0.23]"
174,56.0,0.553688909774436,[ 22.03 -13.07   0.   107.  ],"[0.2, 0.19, 0.19, 0.2]"
175,60.0,0.5405440685045947,[ 18.63 -27.95   0.   102.  ],"[0.2613, 0.2692, 0.19, 0.19]"
176,60.0,1.2582221820099824,[ 13.09 -41.69 140.   136.  ],"[0.2906, 0.3067, 0.2, 0.22]"
177,4.0,1.4840838509316772,[  5.88 -54.18  91.    92.  ],"[0.27, 0.28, 0.23, 0.23]"
178,40.0,1.3174461981730072,[ 21.48  17.96 130.   126.  ],"[0.23, 0.21, 0.309, 0.3016]"
179,36.0,1.3265313421031835,[ 23.2    2.51  31.   155.  ],"[0.23, 0.21, 0.2549, 0.327]"
180,13.0,-0.45827200950211655,[ 22.31 -13.08  35.   169.  ],"[0.2614, 0.5561, 0.23, 0.22]"
